"score" "text"
"3" 0 "INCREASE NUMBER OF OUTLETS WHERE CARD IS ENTERTAINED"
"11" 0 "quick response was not provided"
"12" 0 "wider acceptability of card in line with VISA OR MASTER. This is lacking now."
"17" 0 "Please do not misguide customers If company would have kept to its brand and not promised and then backtrack on the services offered."
"18" 0 "As per my last conversation with customer care guy,he would give me a call regarding my query.But he didn't come back.That is pathetic. Better services..still i am not seeing in this card."
"20" 0 "Company should have worked out a solution with the Kingfisher to help me book the tickets The Kingfisher co-branded card needs to be more felxible to tranfer the points earned to King miles based on customers needs and not one fixed day of the month. it should be customer friendly instead of a simplistic solution for company. I had to incur a finacial loss of approx Rs. 1400 because of the inflexibility"
"22" 0 "Gesture, greeting and quality talk"
"23" 0 "Good greetings, understand customer problem and assured to deliver replacement card within 3 days. I got it. Thanks to the phone banking officer."
"25" 0 "I expressed my inability of not using the card. Because when I used it in Koutons. System did not accept the card. it was asking for pin, which was never communicated to customer. The representitive collected the info but no feedback or update further on this. To make it excellent representative to be more customer oriented."
"27" 0 "Their was no politeness and please resolve the issue without forwarding the call to some senior for help"
"28" 0 "That time I was truing to register my card on your site. but i faced some issue so called n that guy is very helpful and he register my card within a minute."
"29" 0 "The help was Promt and I got my blocked card unblocked in < 1 day. The representative was too good to solve my problem on high priority basis."
"33" 0 "Every time when I contact to call center I found that they always talk with an attitude and unfocused."
"37" 0 "The behaviour & the manner of param the executive which is handling the call & understanding the situation & need of customer what the customer wants & clear the issues wisely without any hassles"
"39" 0 "I would expect an answer immediately on why my payment is not showing up in my card account. More importantly, I made the payment on 15th Oct and the money was debited from my RBS account immediately, which essentially means the money should have credited to my card account on the same day. However the payment later showed up in my card account with a date of 21st Oct, which is not acceptable. I would expect these information to be provided in the call."
"40" 0 "I had to call twice to make my request addressed, same could have been done in one call itself"
"42" 0 "I enquired about how to view unbilled transaction. I did not got an answer and still waiting for a call back."
"48" 0 "An immediate solution could have been offered but it was not"
"60" 0 "You should not had asked me to call bill desk directly. I do not consider bill desk as my service provider."
"62" 0 "You are asking me to rate a particular call when I called to cancel the card services rather than asking my experience with company and why I am cancelling the card. Too little too late to be asking this question."
"69" 0 "Immediate action which was not done. I felt that the action was rather beauracratic and not needed"
"71" 0 "THE RATE OF INTEREST FOR SPEND CONVERTED ON EMI SHOULD BE LESS."
"74" 0 "The attitude of the person attending my call and his approach to be with me till the issue was resolved made it excellent"
"77" 0 "payments made by us through NEFT does not get credited in our acoount and only on next statement 's receipt we get to know we have experinced this few times and found out mistake are from your end and not from our end pleaase set right your system otherwise i will not use thiss card"
"78" 0 "The support executive has resolved my issue on the timelines she specified"
"81" 0 "The Executive was quick to understand the need, provided dates by when reversals would be completed. And most importantly, I did not have to follow up."
"83" 0 "Call me with your feedback on the action taken to the pt i raised. Responsive customer service with action taken attitude. Wider acceptance of ur card is an issue."
"88" 0 "The Support executive did not understood my problem."
"91" 0 "There was no executive to answer the query.the phone was on hold for infinite mins.to get details of kingfisher miles and bookings another no had to be contacted which also had very poor service Improve your service,have more customer relationship managers and after we have opened a new account for 6 months the CRM should contact regularly for any assistance"
"92" 0 "Very fast understanding of the problem, quick solution and execution, very much favourable to me and well thought suggestions made to resolve my problem."
"93" 0 "Your executives should do what they promised to do.when they say they will call back they never do so. They should stop asking irrelevant questions."
"104" 0 "all the information was precise and no cause for complains from my side."
"109" 0 "Its been two months now and I have still not received my card."
"110" 0 "The phone service executives should be enpowered with certain tools so that they can take decisions"
"114" 0 "The waiting time is to be reduced The user credentials to be validated once - At the IVR and let not the customer repeat the card number and other details multipletimes to the CSR Inclusion of more merchant outlets that accept the card. Reduction of the processing fee to be in par with the card providers such as VISA and MAstercard"
"119" 0 "More Rewards on Kingfisher Card. When we are not travelling much it will be of no use to convert the existing points to King Miles."
"123" 0 "Executive has taken complete ownership to resolve the issue. Provided the correct information and excellent follow up to understand the closure of the issue."
"133" 0 "It is great experience. I could have got to know issues proactively"
"137" 0 "Waiting time was too long before we could discuss"
"146" 0 "The agent advised me that company was doing me a favor by taking up disputed amounts with the merchandiser. I had to report the same dispute in May 2012 as well but it was only rectified partly."
"150" 0 "Since I am deputed out of India most of the times for months, I may have to cancel my cards or atleast know the procedure to do so while I am abroad."
