"score" "text"
"1" 3 "Warm, friendly, courteous & helpful nature of the person. Listening with intent to understand, help & resolve issue customer was facing"
"4" 2 "THE PERSON TALKED TO ME VERY RESPECTFULLY AND TO THE POINT. HE WAS VERY RESPONSIVE OF MY QUERRIES."
"5" 1 "Better response from customer service is excepted."
"6" 2 "Courteous and polite consultant."
"7" 2 "He was helpful and did tell me the best way to use my points."
"8" 2 "The kind of offers and the kind of treatment you get of being card holder and kind of service and support you receive is great"
"9" 1 "It was very helpful in answering the query and providing the solution."
"10" 4 "My experience with customer care has always been great. She was courteous & professional and moreover I could feel from my interaction with her that she was eager to to help. I was delighted."
"13" 2 "Prompt response to queries, mails raised by customers rather than asking me to contact some body else. Donot look for more business, if your service is not prompt."
"14" 1 "Prompt & Candid response...rather putting up more questions."
"15" 3 "Time and aginn the same old issue is being referred. I do not want to pay card renewal charges as in 2003 I was offered a free card and upgradation along but for some reason he is enjoying free membership but mine was withdrawn? there after I do no not want to sbcribe turbo reward but every year you keep on charging"
"16" 2 "Better support / knowledge of the people"
"19" 1 "Executive was very cordial and helpful."
"24" 2 "the approach is so client friendly and reasonable solution based."
"26" 3 "Its always a great experience talking to your phone banking officers. They are well empowered and clearly demonstrate that customer is in focus. Whole industry talks about customer experience but they fail and you really mean what you say.Really appreciate the best/class services provided by you to your customers."
"31" 1 "Improve customer service levels.........."
"32" 2 "It is very helpful for me for Reset my Password of my login, from Security point of view I can faith on this service, thanks a ton."
"34" 2 "I think the best part of the response and energy with which the associate responded. Very pleasing to hear and very helpful..great service overall"
"38" 1 "The way executive explain my query was really nice and he was able to solve my all queries."
"43" 2 "Excellent customer service and very friendly"
"44" 1 "Not only the call on 2nd Feb..there have been calls in the past as well where im concerned about my experience dealing with company and despite promising to arrange a call back from a concerned person, there is no call that i get, no response i get. Please have a look at the calls done in the past as well and you would know what needs to be changed/improved."
"45" 3 "Being more polite, not raising voice, not banging down the phone you need to be patient and polite with the customer and talk with a smile on your face and not get irritated"
"46" 2 "They were proactive and helpful"
"47" 1 "RESPONSE TIMELINE SHOULD BE MORE POLITE AND TELE CALLERS HAVE BECOME A MENNACE."
"49" 1 "Customer requirements should have been met/fulfilled The terms and conditions that are prevailing at the time when a customer sgns up for your product should not change in future, like you did in case of Kingfisher First Credit Card that the rewards points are compulsarily now being transferred to King Club miles. Whereas, i wanted to retain the points for products in rewards catalouge."
"50" 1 "detailed information and understanding of the person explaining the product features and policy was excellent."
"51" 1 "The representative I spoke with was very courteous, understood the reason of my call, attended the call in a very professional manner, provided all the relevant information to me."
"53" 1 "The executive had a clear understanding of the subject"
"54" 1 "If I would had been given the permission to use my card to buy jewellery from the back end team would have really been nice."
"55" 1 "One of the conditions I stated when I signed up for the card, which was confirmed by the sales re., was that I could choose my card's billing statement monthly scheduled date. However, the customer service rep. stated that this could not be done. Why sell the card on false promises? As mentioned in my previous response. Adtionally, card is not widely accepted as I was led to believe - and I have checked this in India, UAE and the US"
"56" 2 "The approach, the style, the helpfulness, the friendly nature. Absolutely fantastic team"
"57" 1 "Every things explained by agent and help provided was very good"
"58" 1 "Improve your service to customer."
"59" 2 "By providing offers and solutions by which the reward points could be used more effectively."
"61" 2 "the way she lead me to solve my issues is excellent and the concern and the way she spoken to me was really good , when i compare the people who speaks to me from citi bank credit card department, the lady to whom i have spoken was 100 % perferct.Every person should have such kind of nature to treat the customer well."
"63" 1 "Meet the commitments promised"
"64" 2 "Unfortunately, company does not deliver what they promise. YOU have mentioned free domestic tickets if we spend Rs. 1,75,000/- on your card . your dictionary of free means only for base fare ( a joke. Free means Rs. 200 ) and we have to bear the brunt of taxes."
"65" 1 "The card service is neither widely available or acceptable compared to other cards."
"66" 3 "The person on the call gave me an excellent advice on my query like how should I go ahead, he was very polite and understood the requirement easily!!"
"67" 1 "No clear resolution. Made me attempt something twice with the problem not being fixed each time. However, ensured my card does not get charged. Sadly, blamed it squarely on the merchant, even though I clearly mentioned that I have never been able to transact online with ANY merchant using my card. Accept the error/bug in your system. Provide a tangible solution, along with time lines when the solution would be in place and a follow-up call from someone at with a clear explanation of what was done to fix it."
"68" 3 "Better understanding of my needs. 1. Mobile secutity alerts while shopping. 2. E Mail statements, which I am not getting. 3. People refrain from annual charges. 4. Compitetion has better offers and better acceptability."
"70" 4 "Professional response to the query. Helped right away. Great work overall."
"73" 2 "Even though the call was made at a non-concerned department it was routed very promptly & with courage to the concerned department. The executed helped in as much as short time as possible."
"75" 1 "Best in services..benefits"
"76" 3 "The executive was courteous,patient and came across as genuinely interested in helping the caller. Better credit terms. company's billing policy is difficult to understand. Billing and payment should be similar to other cards like HDFC (which i rate as the most customer friendly bank)."
"79" 2 "I had asked for upgraading of my card from Gold to Platinum. I am given a ref. no. and promise that rep will call me on 3rd or 4th June when I was going to be in Mumbai. Neither anyone has called nor there is any furhter response. Unprofessional"
"80" 3 "Personalised and receptive respondent and was very pleasant and helpful."
"82" 2 "Well the girl who answered was extremely helpful to my needs."
"84" 1 "The courteous way in which representative spoke. She looked extremely glad to speak to me again. In this age of constant stress and tension, someone making you feel that special is no more common. Hence calling this company is a pleasant experience for me."
"85" 3 "My request was well understood, attended to by your representative. I appreciate this quick and efficient service."
"87" 2 "Clear and to the point response on the query. Compared to my earlier calls where lot of promises were made but no action at all even after many calls."
"89" 1 "The rep was excellent and he was great while understanding my concern."
"94" 2 "customer Rep attitude towads resolving my call and her honest followup made the expirence Excellent. She definately made me feel the diffrence your service levels as compared to others"
